timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
12047,-0.18,0.895,0.019,9.548,-6.04,0.43,0.79
12087,-0.17,0.895,0.062,9.572,-6.16,0.43,0.85
12127,-0.11,0.924,0.019,9.577,-6.16,0.37,0.79
12167,-0.18,0.857,-0.024,9.625,-5.91,0.3,0.61
12207,-0.35,0.9,-0.038,9.625,-6.1,0.43,0.73
12247,-0.35,0.886,0.038,9.629,-5.85,0.43,0.67
12288,-0.24,0.895,0.014,9.596,-5.98,0.49,0.61
12327,-0.24,0.891,0.029,9.615,-6.16,0.37,0.73
12367,-0.24,0.891,0.014,9.644,-6.04,0.37,0.85
12407,-0.24,0.905,0.057,9.629,-5.91,0.49,0.55
12447,-0.3,0.862,-0.048,9.548,-5.91,0.43,0.73
12487,-0.24,0.838,-0.005,9.629,-6.04,0.61,0.79
12527,-0.24,0.857,0.024,9.572,-5.98,0.43,0.61
12567,-0.23,0.919,-0.005,9.649,-5.98,0.3,0.67
12607,-0.24,0.9,0.081,9.62,-6.1,0.43,0.67
12647,-0.3,0.891,0.053,9.639,-6.04,0.43,0.85
12687,-0.24,0.881,0.005,9.596,-6.04,0.55,0.91
12727,-0.37,0.91,-0.043,9.567,-5.98,0.43,0.79
12767,-0.43,0.886,0.005,9.543,-5.98,0.3,0.67
12807,-0.41,0.919,0,9.572,-6.04,0.49,0.73
12847,-0.35,0.886,0.043,9.515,-6.1,0.37,0.73
12887,-0.24,0.972,0.014,9.61,-6.1,0.43,0.85
12928,-0.24,0.934,-0.005,9.471,-5.98,0.37,0.73
12967,-0.31,0.919,-0.024,9.639,-5.98,0.37,0.73
13007,-0.24,0.9,0.005,9.515,-6.1,0.37,0.91
13047,-0.25,0.905,0.038,9.572,-6.16,0.37,0.73
13087,-0.3,0.881,0.014,9.596,-6.1,0.43,0.67
13127,-0.24,0.905,0.057,9.639,-5.98,0.43,0.85
13167,-0.18,0.843,0.057,9.62,-5.91,0.43,0.73
13207,-0.31,0.867,-0.029,9.62,-5.91,0.43,0.61
13247,-0.25,0.9,0.053,9.457,-5.91,0.24,0.55
13287,-0.18,0.905,0.077,9.596,-6.16,0.37,0.61
13327,-0.25,0.924,-0.034,9.668,-6.22,0.43,0.73
13367,-0.2,0.891,0.048,9.515,-6.04,0.61,0.67
13407,-0.31,0.891,0.019,9.582,-6.04,0.37,0.61
13447,-0.2,0.934,0.029,9.553,-5.98,0.37,0.73
13487,-0.31,0.9,-0.019,9.596,-6.16,0.37,0.91
13527,-0.44,0.958,0,9.543,-5.91,0.49,0.55
13568,-0.25,0.943,-0.005,9.553,-5.91,0.3,0.61
13607,-0.14,0.862,-0.014,9.529,-5.98,0.55,0.79
13647,-0.25,0.915,0.038,9.51,-6.04,0.55,0.67
13687,-0.25,0.881,-0.01,9.51,-6.04,0.43,0.85
13727,-0.2,0.895,0,9.697,-6.1,0.24,0.61
13767,-0.27,0.876,0,9.639,-6.04,0.3,0.73
13807,-0.31,0.886,0.005,9.639,-6.1,0.43,0.67
13847,-0.5,0.876,0.038,9.548,-6.04,0.37,0.55
13887,-0.25,0.886,0.091,9.548,-5.98,0.49,0.91
13927,-0.14,0.881,-0.005,9.625,-5.79,0.37,0.67
13967,-0.25,0.943,0,9.582,-6.04,0.49,0.85
14007,-0.14,0.991,0.005,9.572,-5.91,0.37,0.67
14047,-0.2,0.867,-0.034,9.606,-5.85,0.55,0.61
14087,-0.2,0.895,0.057,9.548,-5.98,0.3,0.79
14127,-0.07,0.871,-0.01,9.582,-6.16,0.49,0.85
14167,-0.2,0.895,0.014,9.538,-5.79,0.43,0.79
14208,-0.27,0.838,0.005,9.601,-6.04,0.37,0.73
14247,-0.2,0.867,0.024,9.519,-6.1,0.49,0.85
14287,-0.27,0.867,-0.005,9.515,-5.98,0.61,0.73
14327,-0.25,0.862,-0.024,9.567,-5.98,0.49,0.91
14367,-0.21,0.848,0.024,9.543,-5.98,0.18,0.67
14407,-0.21,0.833,0,9.716,-5.98,0.37,0.61
14447,-0.14,0.924,0.029,9.481,-6.1,0.55,0.79
14487,-0.2,0.881,-0.019,9.543,-6.04,0.37,0.55
14527,-0.33,0.876,-0.034,9.596,-6.04,0.24,0.73
14567,-0.15,0.915,0.034,9.62,-5.98,0.3,0.67
14607,-0.27,0.895,0.019,9.558,-6.04,0.3,0.79
14647,-0.28,0.852,0.062,9.629,-6.16,0.37,0.61
14687,-0.34,0.895,0.072,9.586,-6.1,0.37,0.67
14727,-0.33,0.848,-0.005,9.5,-5.98,0.3,0.49
14767,-0.45,0.948,-0.01,9.644,-6.04,0.43,0.61
14807,-0.34,0.924,0.053,9.591,-5.91,0.37,0.79
14848,-0.39,0.819,-0.014,9.515,-6.1,0.43,0.79
14887,-0.45,0.924,0,9.634,-6.1,0.37,0.67
14927,-0.51,0.91,-0.01,9.572,-5.98,0.37,0.61
14982,-0.57,0.852,0.029,9.577,-5.91,0.43,0.79
15007,-0.51,0.924,0.005,9.61,-6.1,0.43,0.73
15047,-0.39,0.881,0.048,9.658,-5.98,0.37,0.79
15087,-0.45,0.915,0.053,9.567,-6.16,0.37,0.73
15127,-0.33,0.91,0.01,9.601,-6.28,0.37,0.61
15167,-0.33,0.91,-0.043,9.543,-6.04,0.37,0.61
15207,-0.39,0.881,0.014,9.61,-5.98,0.37,0.85
15247,-0.44,0.9,0.005,9.524,-6.04,0.37,0.85
15287,-0.39,0.91,0.024,9.491,-6.04,0.24,0.73
15327,-0.27,0.871,0.014,9.524,-6.04,0.24,0.73
15367,-0.37,0.867,0.048,9.491,-6.22,0.3,0.61
15407,-0.49,0.871,-0.029,9.548,-5.98,0.24,0.55
15447,-0.39,0.943,0.01,9.558,-5.98,0.3,0.73
15488,-0.33,0.929,0.024,9.567,-6.1,0.43,0.79
15527,-0.33,0.948,-0.048,9.596,-6.16,0.37,0.73
15567,-0.45,0.843,0.014,9.519,-6.1,0.37,0.79
15607,-0.4,0.905,0,9.529,-5.79,0.3,0.67
15647,-0.44,0.876,0.048,9.529,-6.04,0.24,0.73
15687,-0.45,0.886,-0.034,9.538,-6.1,0.37,0.55
15727,-0.4,0.943,0.043,9.582,-5.98,0.49,0.73
15767,-0.34,0.953,0,9.615,-5.91,0.3,0.79
15807,-0.4,0.881,-0.005,9.582,-6.16,0.37,0.73
15847,-0.28,0.919,0.01,9.558,-5.98,0.49,0.61
15887,-0.4,0.867,0.014,9.582,-5.91,0.43,0.85
15927,-0.22,0.891,-0.038,9.586,-5.98,0.43,0.73
15967,-0.28,0.929,0.01,9.668,-5.91,0.43,0.67
16007,-0.22,0.867,-0.048,9.629,-6.1,0.3,0.49
16047,-0.28,0.934,-0.014,9.586,-6.1,0.37,0.79
16087,-0.28,0.929,0.014,9.529,-6.1,0.55,0.91
16128,-0.22,0.881,-0.034,9.467,-5.91,0.06,0.79
16167,-0.35,0.886,-0.043,9.548,-6.1,0.43,0.61
16207,-0.41,0.948,-0.005,9.548,-6.1,0.43,0.79
16247,-0.47,0.895,0.053,9.591,-6.04,0.18,0.91
16287,-0.41,0.862,-0.038,9.495,-5.91,0.49,0.55
16327,-0.41,0.915,0.101,9.596,-6.16,0.49,0.49
16367,-0.22,0.828,0.005,9.538,-6.04,0.49,0.67
16407,-0.35,0.895,0.034,9.586,-6.04,0.37,0.67
16447,-0.34,0.929,-0.029,9.529,-6.04,0.3,0.73
16487,-0.3,0.891,0.014,9.644,-5.91,0.43,0.67
16527,-0.35,0.876,0.005,9.606,-5.91,0.37,0.67
16567,-0.35,0.867,0,9.562,-6.04,0.43,0.61
16607,-0.3,0.828,0.005,9.668,-5.98,0.37,0.67
16647,-0.17,0.867,-0.029,9.658,-5.91,0.43,0.79
16687,-0.35,0.876,-0.01,9.553,-5.91,0.24,0.73
16727,-0.35,0.919,0.048,9.572,-6.04,0.3,0.67
16768,-0.28,0.881,-0.014,9.649,-5.98,0.49,0.73
16807,-0.3,0.886,-0.019,9.582,-5.98,0.49,0.61
16847,-0.18,0.967,0.077,9.558,-6.16,0.55,0.73
16887,-0.3,0.905,0.01,9.596,-6.16,0.37,0.67
16927,-0.24,0.895,0.029,9.639,-6.04,0.37,0.73
16967,-0.3,0.881,0.019,9.586,-6.1,0.43,0.73
17007,-0.35,0.857,-0.005,9.538,-5.91,0.49,0.73
17047,-0.18,0.852,0,9.639,-6.04,0.37,0.61
17087,-0.18,0.876,0.048,9.577,-5.98,0.43,0.61
17127,-0.14,0.924,0.019,9.673,-5.98,0.43,0.73
17167,-0.18,0.867,-0.034,9.562,-6.16,0.49,0.61
17207,-0.24,0.9,0,9.534,-5.98,0.24,0.67
17247,-0.18,0.934,0.043,9.601,-6.04,0.24,0.67
17287,-0.18,0.881,0,9.538,-6.22,0.43,0.55
17327,-0.14,0.876,0.024,9.567,-6.04,0.49,0.67
17367,-0.13,0.862,-0.005,9.596,-6.04,0.43,0.61
17408,-0.24,0.9,0.034,9.682,-5.98,0.24,0.73
17447,-0.18,0.843,0.005,9.562,-6.04,0.3,0.85
17487,-0.13,0.886,-0.029,9.62,-6.22,0.43,0.55
17527,-0.24,0.905,0.005,9.615,-5.98,0.43,0.91
17567,-0.24,0.804,0.019,9.606,-5.91,0.43,0.67
17607,-0.18,0.9,0.057,9.601,-6.1,0.49,0.49
17647,-0.18,0.895,-0.034,9.558,-6.04,0.49,0.79
17687,-0.18,0.876,0.038,9.625,-6.04,0.43,0.73
